??????????,season,track,episode
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 1 - Electromaster"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 2 - When Working Under a Hot Sun, Rehydration Is Essential"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 3 - Tokiwadai Is Targeted"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 4 - Urban Legends"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 5 - A Certain Pair of New Trainees"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 6 - Everyone is Proactive When it Comes to This"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 7 - Abilities and Powers"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 8 - Level Upper"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 9 - Majority Report"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 10 - Silent Majority"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 11 - Dr. Kiyama"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 12 - AIM Burst"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 13 - A Bikini Divides the Eyeline Between Top and Bottom, But a One-piece Shows Off the Figure, So They Only Flatter the Slender"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 14 - Special Workshop"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 15 - Skill Out"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 16 - Academy City"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 17 - Tsuzuri's Summer Vacation"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 18 - Asunaro Park"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 19 - Midsummer Festival"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 20 - Poltergeist"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 21 - Voices"
